id,source_file,source_line,heuristic_type,current_expression,risk_level,resolution_mode,target_change,tests_required,owner_package,status,rule_uuid,severity,buckets,false_positive_risk,evidence_level,verification_rule
H-RULE-adfb37cd-82f8-411c-b917-adaea7f9579e,packages/runtime/src/api/migrations/defaults/rules.json,4,OTHER,PR titles must follow the pattern: <scope>: <concise change summary>. Keep it under 72 characters and avoid vague words like 'stuff' or 'minor tweaks'.,HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,adfb37cd-82f8-411c-b917-adaea7f9579e,HIGH,pr-hygiene|style-conventions,HIGH,RULE_TEXT_ONLY,rule-adfb37cd-schema::Validate uuid/severity/buckets and non-empty rule text for adfb37cd-82f8-411c-b917-adaea7f9579e
H-RULE-6fa99ac2-6d42-4704-b486-f9d7fb58198f,packages/runtime/src/api/migrations/defaults/rules.json,28,SCORING,"Include Motivation, Approach, Considered Alternatives, Risk & Rollout, and Testing Evidence. Use bullet points; avoid single-line descriptions.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,6fa99ac2-6d42-4704-b486-f9d7fb58198f,HIGH,pr-hygiene|docs-adrs,MEDIUM,RULE_TEXT_ONLY,rule-6fa99ac2-schema::Validate uuid/severity/buckets and non-empty rule text for 6fa99ac2-6d42-4704-b486-f9d7fb58198f
H-RULE-fcdb09e9-c2c3-41f6-9101-cbac2420f9fb,packages/runtime/src/api/migrations/defaults/rules.json,52,OTHER,"Reference at least one tracking ID (e.g., JIRA/GitHub issue) in the PR description using a consistent format (e.g., 'Refs: ABC-123').",MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,fcdb09e9-c2c3-41f6-9101-cbac2420f9fb,MEDIUM,pr-hygiene|maintainability,MEDIUM,RULE_TEXT_ONLY,rule-fcdb09e9-schema::Validate uuid/severity/buckets and non-empty rule text for fcdb09e9-c2c3-41f6-9101-cbac2420f9fb
H-RULE-93126589-1ea3-46ef-9fe3-5aa6be1442b9,packages/runtime/src/api/migrations/defaults/rules.json,76,OTHER,"If the PR is large (many files/lines), split it into logical chunks or provide a clear justification and review guide listing file groups and what to focus on.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,93126589-1ea3-46ef-9fe3-5aa6be1442b9,HIGH,pr-hygiene|readability-refactor,HIGH,RULE_TEXT_ONLY,rule-93126589-schema::Validate uuid/severity/buckets and non-empty rule text for 93126589-1ea3-46ef-9fe3-5aa6be1442b9
H-RULE-8ad4b210-402f-4e51-8125-6836aa41369b,packages/runtime/src/api/migrations/defaults/rules.json,100,OTHER,"Do not combine mechanical changes (formatting, renames) with behavioral changes. If unavoidable, separate commits and call out which commits are mechanical.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,8ad4b210-402f-4e51-8125-6836aa41369b,HIGH,pr-hygiene|readability-refactor|maintainability,HIGH,RULE_TEXT_ONLY,rule-8ad4b210-schema::Validate uuid/severity/buckets and non-empty rule text for 8ad4b210-402f-4e51-8125-6836aa41369b
H-RULE-855f35ba-3935-45b7-ba46-4914aa54e99e,packages/runtime/src/api/migrations/defaults/rules.json,125,OTHER,"Provide explicit verification steps (manual or automated), expected vs actual outcomes, and attach any logs or screenshots relevant to the changes.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,855f35ba-3935-45b7-ba46-4914aa54e99e,HIGH,pr-hygiene|testing-quality,MEDIUM,RULE_TEXT_ONLY,rule-855f35ba-schema::Validate uuid/severity/buckets and non-empty rule text for 855f35ba-3935-45b7-ba46-4914aa54e99e
H-RULE-330b62b8-9682-4164-a6b5-b3c40ec5238f,packages/runtime/src/api/migrations/defaults/rules.json,149,OTHER,"When altering UI, include before/after screenshots or a short clip demonstrating the change, and note responsive states and accessibility impacts.",MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,330b62b8-9682-4164-a6b5-b3c40ec5238f,MEDIUM,pr-hygiene|ui-robustness|accessibility-a11y,MEDIUM,RULE_TEXT_ONLY,rule-330b62b8-schema::Validate uuid/severity/buckets and non-empty rule text for 330b62b8-9682-4164-a6b5-b3c40ec5238f
H-RULE-6d330865-c47d-44da-907a-4a82f0a5f48f,packages/runtime/src/api/migrations/defaults/rules.json,174,SCORING,"If the change is risky or user-facing, describe the feature flag, rollout plan (stages/segments), monitoring signals, and a clear rollback procedure.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,6d330865-c47d-44da-907a-4a82f0a5f48f,HIGH,pr-hygiene|resilience-retries-idempotency,MEDIUM,RULE_TEXT_ONLY,rule-6d330865-schema::Validate uuid/severity/buckets and non-empty rule text for 6d330865-c47d-44da-907a-4a82f0a5f48f
H-RULE-5171f5c0-76aa-45fa-8eee-d5eb9832d34b,packages/runtime/src/api/migrations/defaults/rules.json,198,OTHER,"If an API/contract or behavior is breaking, add a 'BREAKING CHANGE' section detailing what breaks, migration steps, and affected consumers.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,5171f5c0-76aa-45fa-8eee-d5eb9832d34b,HIGH,pr-hygiene|api-contracts-versioning|docs-adrs,MEDIUM,RULE_TEXT_ONLY,rule-5171f5c0-schema::Validate uuid/severity/buckets and non-empty rule text for 5171f5c0-76aa-45fa-8eee-d5eb9832d34b
H-RULE-ee55f2cc-1048-4d97-a54c-120bfbc8ca01,packages/runtime/src/api/migrations/defaults/rules.json,223,OTHER,"Do not include commented-out code, unused files, or unrelated snapshots. Keep diffs minimal and relevant to the change.",MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,ee55f2cc-1048-4d97-a54c-120bfbc8ca01,MEDIUM,pr-hygiene|maintainability,MEDIUM,RULE_TEXT_ONLY,rule-ee55f2cc-schema::Validate uuid/severity/buckets and non-empty rule text for ee55f2cc-1048-4d97-a54c-120bfbc8ca01
H-RULE-ee9b7041-a998-450d-8a83-200a757874aa,packages/runtime/src/api/migrations/defaults/rules.json,247,OTHER,"If the change affects users or operators, update end-user docs/runbooks and add a concise changelog entry in the PR description or designated file.",MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,ee9b7041-a998-450d-8a83-200a757874aa,MEDIUM,pr-hygiene|docs-adrs,MEDIUM,RULE_TEXT_ONLY,rule-ee9b7041-schema::Validate uuid/severity/buckets and non-empty rule text for ee9b7041-a998-450d-8a83-200a757874aa
H-RULE-9eb6a7f7-3422-4f88-8e7b-91cd8187e122,packages/runtime/src/api/migrations/defaults/rules.json,271,OTHER,Tag code owners or subject-matter experts for impacted areas. Include a short 'What to review' section to guide each reviewer.,MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,9eb6a7f7-3422-4f88-8e7b-91cd8187e122,MEDIUM,pr-hygiene|observability-logging,MEDIUM,RULE_TEXT_ONLY,rule-9eb6a7f7-schema::Validate uuid/severity/buckets and non-empty rule text for 9eb6a7f7-3422-4f88-8e7b-91cd8187e122
H-RULE-94be716a-5536-4296-9aa8-a18caba7596f,packages/runtime/src/api/migrations/defaults/rules.json,295,OTHER,"Provide a short checklist tailored to this change (e.g., 'logic matches spec', 'docs updated', 'flags in place', 'rollback plan noted').",MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,94be716a-5536-4296-9aa8-a18caba7596f,MEDIUM,pr-hygiene|testing-quality|docs-adrs,MEDIUM,RULE_TEXT_ONLY,rule-94be716a-schema::Validate uuid/severity/buckets and non-empty rule text for 94be716a-5536-4296-9aa8-a18caba7596f
