id,source_file,source_line,heuristic_type,current_expression,risk_level,resolution_mode,target_change,tests_required,owner_package,status,rule_uuid,severity,buckets,false_positive_risk,evidence_level,verification_rule
H-CODE-0001,packages/core/src/application/dto/heuristics/heuristic-registry-entry.dto.ts,2,OTHER,* Supported heuristic categories for registry entries.,LOW,KEEP_CODE_FIRST,Keep in code-first mode and document verification strategy.,unit-heuristic-coverage,@codenautic/core,TRIAGED,,,,,,h-code-1-verification::Ensure heuristic entry H-CODE-1 stays covered by unit/integration assertions.
H-CODE-0002,packages/core/src/application/dto/heuristics/heuristic-registry-entry.dto.ts,4,OTHER,export type IHeuristicType =,LOW,KEEP_CODE_FIRST,Keep in code-first mode and document verification strategy.,unit-heuristic-coverage,@codenautic/core,TRIAGED,,,,,,h-code-2-verification::Ensure heuristic entry H-CODE-2 stays covered by unit/integration assertions.
H-CODE-0003,packages/core/src/application/dto/heuristics/heuristic-registry-entry.dto.ts,5,THRESHOLD,"| ""THRESHOLD""",MEDIUM,KEEP_CODE_FIRST,Keep in code-first mode and validate threshold semantics with tests.,unit-threshold-boundaries,@codenautic/core,TRIAGED,,,,,,h-code-3-verification::Ensure heuristic entry H-CODE-3 stays covered by unit/integration assertions.
H-CODE-0004,packages/core/src/application/dto/heuristics/heuristic-registry-entry.dto.ts,7,WEIGHTING,"| ""WEIGHTING""",MEDIUM,KEEP_CODE_FIRST,Keep weights explicit in code and verify calibration boundaries.,unit-weight-calibration,@codenautic/core,TRIAGED,,,,,,h-code-4-verification::Ensure heuristic entry H-CODE-4 stays covered by unit/integration assertions.
H-CODE-0005,packages/core/src/application/dto/heuristics/heuristic-registry-entry.dto.ts,8,RETRY_BACKOFF,"| ""RETRY_BACKOFF""",HIGH,HARDEN,Harden retry/backoff policy with retryable classification and bounded jitter.,unit-retry-policy|integration-retry-failure-path,@codenautic/core,TRIAGED,,,,,,h-code-5-verification::Ensure heuristic entry H-CODE-5 stays covered by unit/integration assertions.
H-CODE-0006,packages/core/src/application/dto/heuristics/heuristic-registry-entry.dto.ts,9,TIMEOUT,"| ""TIMEOUT""",HIGH,HARDEN,Harden timeout policy with explicit limits and failure-path assertions.,unit-timeout-boundaries|integration-timeout-failure-path,@codenautic/core,TRIAGED,,,,,,h-code-6-verification::Ensure heuristic entry H-CODE-6 stays covered by unit/integration assertions.
H-CODE-0007,packages/core/src/application/dto/heuristics/heuristic-registry-entry.dto.ts,10,RANKING,"| ""RANKING""",LOW,KEEP_CODE_FIRST,Keep ranking logic explicit and verify deterministic ordering.,unit-ranking-determinism,@codenautic/core,TRIAGED,,,,,,h-code-7-verification::Ensure heuristic entry H-CODE-7 stays covered by unit/integration assertions.
H-CODE-0008,packages/core/src/application/dto/heuristics/heuristic-registry-entry.dto.ts,11,FALLBACK_DEFAULT,"| ""FALLBACK_DEFAULT""",MEDIUM,KEEP_CODE_FIRST,Harden fallback/default policy and validate environment-specific behavior.,unit-env-matrix|integration-default-behavior,@codenautic/core,TRIAGED,,,,,,h-code-8-verification::Ensure heuristic entry H-CODE-8 stays covered by unit/integration assertions.
H-CODE-0009,packages/core/src/application/dto/heuristics/heuristic-registry-entry.dto.ts,14,DRIFT_SIGNAL,"| ""DRIFT_SIGNAL""",HIGH,HARDEN,Keep drift/hotspot signals explicit and validate signal provenance.,integration-drift-signal,@codenautic/core,TRIAGED,,,,,,h-code-9-verification::Ensure heuristic entry H-CODE-9 stays covered by unit/integration assertions.
H-CODE-0010,packages/core/src/application/dto/heuristics/heuristic-registry-entry.dto.ts,15,PREDICTION_CONFIDENCE,"| ""PREDICTION_CONFIDENCE""",MEDIUM,KEEP_CODE_FIRST,Harden confidence logic with calibration checks and dataset constraints.,unit-confidence-calibration|regression-confidence-trend,@codenautic/core,TRIAGED,,,,,,h-code-10-verification::Ensure heuristic entry H-CODE-10 stays covered by unit/integration assertions.
